movie_name,full_date,revenue_vnd,tickets_sold,showtimes
100 Mét,2025-11-25,0,0,2
Anh Trai Say Xe,2025-11-25,669474446,9223,2
Bẫy Hồi Sinh,2025-11-25,1194000,140,40
Bẫy Tiền,2025-11-25,100000,20,264
Bịt Mắt Bắt Nai,2025-11-25,490000,100,4
Chainsaw Man - The Movie: Chương Reze,2025-11-25,6784450,470,12
Cưới Vợ Cho Cha,2025-11-25,788131820,12522,1634
Cải Mả,2025-11-25,6568000,1380,20
Cục Vàng Của Ngoại,2025-11-25,1706000,200,12
G-Dragon In Cinema: Übermensch,2025-11-25,46909998,2940,26
Gió Vẫn Thổi,2025-11-25,1924998,180,8
Godzilla Trừ Một,2025-11-25,2600156,220,44
Jujutsu Kaisen 0: Chú Thuật Hồi Chiến,2025-11-25,0,0,10
KHI TA YÊU,2025-11-25,5228000,660,90
Không Bông Tuyết Nào Trong Sạch,2025-11-25,19421024,1900,132
Kỳ An Nghỉ,2025-11-25,25350430,3050,372
Linh Miêu: Quỷ Nhập Tràng,2025-11-25,0,2780,2
Lọ Lem Chơi Ngải,2025-11-25,63093784,11360,152
Mộ Đom Đóm,2025-11-25,6456000,680,18
Núi Tế Vong,2025-11-25,44022136,7320,254
Oán Hồn Trong Vali,2025-11-25,5040000,660,102
Paddington: Gấu Thủ Chu Du,2025-11-25,0,0,14
Phim Shin Cậu Bé Bút Chì: Nóng Bỏng Tay! Những Vũ Công Kasukabe,2025-11-25,520000,40,10
Quái Thú Vô Hình: Vùng Đất Chết Chóc,2025-11-25,46757590,5200,294
Sư Thầy Gặp Siêu Lầy,2025-11-25,48900172,5720,252
Tafiti Náo Loạn Sa Mạc,2025-11-25,32989936,4580,452
Tee Yod 3: Quỷ Ăn Tạng,2025-11-25,0,0,2
Thai Chiêu Tài,2025-11-25,1360000,200,8
Thanh Gươm Diệt Quỷ: Vô Hạn Thành,2025-11-25,1470000,200,2
Thần Dược,2025-11-25,1180000,180,14
Truy Tìm Long Diên Hương,2025-11-25,6111862804,88405,8390
Trái Tim Què Quặt,2025-11-25,220000,40,2
Trốn Chạy Tử Thần,2025-11-25,17553412,1600,182
Tình Người Duyên Ma: Nhắm Mak Yêu Luôn,2025-11-25,11398332,1460,70
Tôi Thấy Hoa Vàng Trên Cỏ Xanh,2025-11-25,330000,60,6
Wicked 2: For Good,2025-11-25,248975646,2301,1304
