Ten_phim,Doanh_thu,So_luong_ve,So_suat_chieu,Ngay_cap_nhat
Truy Tìm Long Diên Hương,3819369533,5598,4281,2025-11-17
Quái Thú Vô Hình: Vùng Đất Chết Chóc,116236924,1284,5990,2025-11-17
Sư Thầy Gặp Siêu Lầy,91011669,1163,4830,2025-11-17
Núi Tế Vong,83351745,1246,5820,2025-11-17
Lọ Lem Chơi Ngải,66614379,1149,2480,2025-11-17
Tình Người Duyên Ma: Nhắm Mak Yêu Luôn,59314482,9150,4500,2025-11-17
G-Dragon In Cinema: Übermensch,51974169,3020,2360,2025-11-17
Trốn Chạy Tử Thần,44846844,4240,4650,2025-11-17
Không Bông Tuyết Nào Trong Sạch,33266832,3730,1950,2025-11-17
Cục Vàng Của Ngoại,21433808,2980,1200,2025-11-17
Cải Mả,15755596,2830,980,2025-11-17
Godzilla Trừ Một,13959024,1400,1530,2025-11-17
Thai Chiêu Tài,8854875,1490,1300,2025-11-17
Mộ Đom Đóm,8465244,1010,320,2025-11-17
Oán Hồn Trong Vali,6295000,1060,1150,2025-11-17
Jujutsu Kaisen 0: Chú Thuật Hồi Chiến,5774500,770,1110,2025-11-17
Cậu Bé Cá Heo và Bí Mật 7 Đại Dương,4932706,760,90,2025-11-17
Trái Tim Què Quặt,3294000,390,570,2025-11-17
Phá Đám Sinh Nhật Mẹ,3019000,510,140,2025-11-17
Tee Yod 3: Quỷ Ăn Tạng,2934500,310,50,2025-11-17
Chainsaw Man - The Movie: Chương Reze,2144500,240,60,2025-11-17
Tử Chiến Trên Không,2025000,270,130,2025-11-17
Phim Shin Cậu Bé Bút Chì: Nóng Bỏng Tay! Những Vũ Công Kasukabe,1987888,200,150,2025-11-17
Mùi Cỏ Cháy,1265000,240,90,2025-11-17
Gió Vẫn Thổi,979000,110,40,2025-11-17
Điện Thoại Đen 2,927000,70,50,2025-11-17
Bịt Mắt Bắt Nai,570000,100,40,2025-11-17
"Mục Sư, Thầy Đồng Và Con Quỷ Âm Trì",210000,20,10,2025-11-17
Chú Thuật Hồi Chiến: Hoài Ngọc / Ngọc Chiết – The Movie,135000,30,10,2025-11-17
Thanh Gươm Diệt Quỷ: Vô Hạn Thành,50000,10,30,2025-11-17
Mưa Đỏ,0,0,20,2025-11-17
Nhà Tiên Tri,0,0,10,2025-11-17
Vua Khủng Long: Phiêu Lưu Đến Vùng Núi Lửa,0,0,70,2025-11-17
TRUYỀN THUYẾT QUÁN TIÊN- T16- LHP VIỆT NAM,0,0,30,2025-11-17
Tớ Và Roboco: Siêu Cấp Đa Vũ Trụ,0,0,20,2025-11-17
Phỏng Vấn Sát Nhân,0,0,10,2025-11-17
Tôi Thấy Hoa Vàng Trên Cỏ Xanh,0,0,30,2025-11-17
Nhà Ma Xó,0,0,30,2025-11-17
Exit 8: Ga Tàu Vô Tận,0,0,10,2025-11-17
